[1205/124703.414:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/build/three.js (21172)
[1205/124704.293:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.1", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[1205/124704.306:INFO:CONSOLE(255)] "Loaded: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/check_in_counter.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[1205/124704.308:INFO:CONSOLE(271)] "load end: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/check_in_counter.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[1205/124704.393:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[1205/124704.405:INFO:CONSOLE(255)] "Loaded: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/woman_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[1205/124704.405:INFO:CONSOLE(271)] "load end: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/woman_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[1205/124704.430:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[1205/124704.434:INFO:CONSOLE(255)] "Loaded: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/toilet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[1205/124704.434:INFO:CONSOLE(271)] "load end: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/toilet.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[1205/124704.455:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[1205/124704.461:INFO:CONSOLE(255)] "Loaded: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/policeman.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[1205/124704.461:INFO:CONSOLE(271)] "load end: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/policeman.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[1205/124704.478:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[1205/124704.481:INFO:CONSOLE(255)] "Loaded: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/hospital.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
[1205/124704.481:INFO:CONSOLE(271)] "load end: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/hospital.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (271)
[1205/124704.500:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/libs/ColladaLoader.js (3660)
[1205/124704.505:INFO:CONSOLE(255)] "Loaded: file:D:/UTN 2024/Simulacion/TPI/Simulacion_Lollapalooza_TPI_Grupo6/3d/soldier.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.3.202411201858/static/init.js (255)
